TIME,IR1,IR2,US
03:26:08,30,120,48
03:10:15,30,120,48
03:11:08,30,120,48
03:13:38,30,120,48
03:14:20,30,120,48
03:18:15,30,120,48
03:18:33,30,120,48
03:19:20,30,120,48
03:24:29,30,120,48
03:24:52,30,120,48
03:25:33,30,120,48
03:25:58,30,120,48
03:26:08,30,120,48
03:10:15,30,120,48
03:11:08,30,120,48
03:13:38,30,120,48
03:14:20,30,120,48
03:18:15,30,120,48
03:18:33,30,120,48
03:19:20,30,120,48
03:24:29,30,120,48
03:24:52,30,120,48
03:25:33,30,120,48
03:25:58,30,120,48
03:26:08,30,120,48
03:32:02,30,120,48
03:32:09,30,120,48
03:32:19,30,120,48
03:10:15,30,120,48
03:11:08,30,120,48
03:13:38,30,120,48
03:14:20,30,120,48
03:18:15,30,120,48
03:18:33,30,120,48
03:19:20,30,120,48
03:24:29,30,120,48
03:24:52,30,120,48
03:25:33,30,120,48
03:25:58,30,120,48
03:26:08,30,120,48
03:32:02,30,120,48
03:32:09,30,120,48
03:32:19,30,120,48
03:32:38,30,120,48
03:10:15,30,120,48
03:11:08,30,120,48
03:13:38,30,120,48
03:14:20,30,120,48
03:18:15,30,120,48
03:18:33,30,120,48
03:19:20,30,120,48
03:24:29,30,120,48
03:24:52,30,120,48
03:25:33,30,120,48
03:25:58,30,120,48
03:26:08,30,120,48
03:32:02,30,120,48
03:32:09,30,120,48
03:32:19,30,120,48
03:32:38,30,120,48
03:35:41,30,120,48
03:09:16,30,120,49
03:09:23,30,120,49
03:10:39,30,120,49
03:10:48,30,120,49
03:13:17,30,120,49
03:13:28,30,120,49
03:13:53,30,120,49
03:08:22,30,120,49
03:09:16,30,120,49
03:09:23,30,120,49
03:10:39,30,120,49
03:10:48,30,120,49
03:13:17,30,120,49
03:13:28,30,120,49
03:13:53,30,120,49
03:18:47,30,120,49
03:19:14,30,120,49
03:19:42,30,120,49
03:20:20,30,120,49
03:08:22,30,120,49
03:09:16,30,120,49
03:09:23,30,120,49
03:10:39,30,120,49
03:10:48,30,120,49
03:13:17,30,120,49
03:13:28,30,120,49
03:13:53,30,120,49
03:18:47,30,120,49
03:19:14,30,120,49
03:19:42,30,120,49
03:20:20,30,120,49
03:22:31,30,120,49
03:22:40,30,120,49
03:22:55,30,120,49
03:25:07,30,120,49
03:25:57,30,120,49
03:08:22,30,120,49
03:09:16,30,120,49
03:09:23,30,120,49
03:10:39,30,120,49
03:10:48,30,120,49
03:13:17,30,120,49
03:13:28,30,120,49
03:13:53,30,120,49
03:18:47,30,120,49
03:19:14,30,120,49
03:19:42,30,120,49
03:20:20,30,120,49
03:22:31,30,120,49
03:22:40,30,120,49
03:22:55,30,120,49
03:25:07,30,120,49
03:25:57,30,120,49
03:27:01,30,120,49
03:08:22,30,120,49
03:09:16,30,120,49
03:09:23,30,120,49
03:10:39,30,120,49
03:10:48,30,120,49
03:13:17,30,120,49
03:13:28,30,120,49
03:13:53,30,120,49
03:18:47,30,120,49
03:19:14,30,120,49
03:19:42,30,120,49
03:20:20,30,120,49
03:22:31,30,120,49
03:22:40,30,120,49
03:22:55,30,120,49
03:25:07,30,120,49
03:25:57,30,120,49
03:27:01,30,120,49
03:08:22,30,120,49
03:09:16,30,120,49
03:09:23,30,120,49
03:10:39,30,120,49
03:10:48,30,120,49
03:13:17,30,120,49
03:13:28,30,120,49
03:13:53,30,120,49
03:18:47,30,120,49
03:19:14,30,120,49
03:19:42,30,120,49
03:20:20,30,120,49
03:22:31,30,120,49
03:22:40,30,120,49
03:22:55,30,120,49
03:25:07,30,120,49
03:25:57,30,120,49
03:27:01,30,120,49
03:08:22,30,120,49
03:09:16,30,120,49
03:09:23,30,120,49
03:10:39,30,120,49
03:10:48,30,120,49
03:13:17,30,120,49
03:13:28,30,120,49
03:13:53,30,120,49
03:18:47,30,120,49
03:19:14,30,120,49
03:19:42,30,120,49
03:20:20,30,120,49
03:22:31,30,120,49
03:22:40,30,120,49
03:22:55,30,120,49
03:25:07,30,120,49
03:25:57,30,120,49
03:27:01,30,120,49
03:08:22,30,120,49
03:09:16,30,120,49
03:09:23,30,120,49
03:10:39,30,120,49
03:10:48,30,120,49
03:13:17,30,120,49
03:13:28,30,120,49
03:13:53,30,120,49
03:18:47,30,120,49
03:19:14,30,120,49
03:19:42,30,120,49
03:20:20,30,120,49
03:22:31,30,120,49
03:22:40,30,120,49
03:22:55,30,120,49
03:25:07,30,120,49
03:25:57,30,120,49
03:27:01,30,120,49
03:35:35,30,120,49
03:08:48,30,120,50
03:09:37,30,120,50
03:10:07,30,120,50
03:10:46,30,120,50
03:11:04,30,120,50
03:11:24,30,120,50
03:12:18,30,120,50
03:13:23,30,120,50
03:08:24,30,120,50
03:08:24,30,120,50
03:08:48,30,120,50
03:09:37,30,120,50
03:10:07,30,120,50
03:10:46,30,120,50
03:11:04,30,120,50
03:11:24,30,120,50
03:12:18,30,120,50
03:13:23,30,120,50
03:15:41,30,120,50
03:18:43,30,120,50
03:19:46,30,120,50
03:20:18,30,120,50
03:20:36,30,120,50
03:08:24,30,120,50
03:08:24,30,120,50
03:08:48,30,120,50
03:09:37,30,120,50
03:10:07,30,120,50
03:10:46,30,120,50
03:11:04,30,120,50
03:11:24,30,120,50
03:12:18,30,120,50
03:13:23,30,120,50
03:15:41,30,120,50
03:18:43,30,120,50
03:19:46,30,120,50
03:20:18,30,120,50
03:20:36,30,120,50
03:23:36,30,120,50
03:23:47,30,120,50
03:25:20,30,120,50
03:08:24,30,120,50
03:08:24,30,120,50
03:08:48,30,120,50
03:09:37,30,120,50
03:10:07,30,120,50
03:10:46,30,120,50
03:11:04,30,120,50
03:11:24,30,120,50
03:12:18,30,120,50
03:13:23,30,120,50
03:15:41,30,120,50
03:18:43,30,120,50
03:19:46,30,120,50
03:20:18,30,120,50
03:20:36,30,120,50
03:23:36,30,120,50
03:23:47,30,120,50
03:25:20,30,120,50
03:27:09,30,120,50
03:08:24,30,120,50
03:08:24,30,120,50
03:08:48,30,120,50
03:09:37,30,120,50
03:10:07,30,120,50
03:10:46,30,120,50
03:11:04,30,120,50
03:11:24,30,120,50
03:12:18,30,120,50
03:13:23,30,120,50
03:15:41,30,120,50
03:18:43,30,120,50
03:19:46,30,120,50
03:20:18,30,120,50
03:20:36,30,120,50
03:23:36,30,120,50
03:23:47,30,120,50
03:25:20,30,120,50
03:27:09,30,120,50
03:08:24,30,120,50
03:08:24,30,120,50
03:08:48,30,120,50
03:09:37,30,120,50
03:10:07,30,120,50
03:10:46,30,120,50
03:11:04,30,120,50
03:11:24,30,120,50
03:12:18,30,120,50
03:13:23,30,120,50
03:15:41,30,120,50
03:18:43,30,120,50
03:19:46,30,120,50
03:20:18,30,120,50
03:20:36,30,120,50
03:23:36,30,120,50
03:23:47,30,120,50
03:25:20,30,120,50
03:27:09,30,120,50
03:31:36,30,120,50
03:31:50,30,120,50
03:08:24,30,120,50
03:08:24,30,120,50
03:08:48,30,120,50
03:09:37,30,120,50
03:10:07,30,120,50
03:10:46,30,120,50
03:11:04,30,120,50
03:11:24,30,120,50
03:12:18,30,120,50
03:13:23,30,120,50
03:15:41,30,120,50
03:18:43,30,120,50
03:19:46,30,120,50
03:20:18,30,120,50
03:20:36,30,120,50
03:23:36,30,120,50
03:23:47,30,120,50
03:25:20,30,120,50
03:27:09,30,120,50
03:31:36,30,120,50
